Enclosure Material, Enclosure Fabrication Method, Enclosure Fabrication Time, Enclosure Wall Thickness, Power Consumption, Battery Life
MDF, Laser-cut, 10, 0.0010, 622.0943, 0.0010
MDF, 3D-Printed, 10, 0.0010, 0.0010, 0.0587
MDF, Laser-cut, 2, 0.0010, 0.0010, 0.0010
Aluminum, 3D-Printed, 1, 0.0010, 0.0010, 0.0010
ABS, CNC-Machined, 3, 0.1000, 1000.0000, 5.0000
ABS, Laser-cut, 10, 0.0012, 0.0010, 5.0000
Steel, 3D-Printed, 1, 0.1000, 0.0010, 0.0010
Steel, 3D-Printed, 1, 0.1000, 1000.0000, 5.0000
Steel, Injection-molded, 1, 0.1000, 993.1134, 5.0000
ABS, 3D-Printed, 3, 0.0991, 1000.0000, 5.0000
MDF, Laser-cut, 10, 0.0010, 49.2511, 0.0010
Steel, Injection-molded, 1, 0.1000, 1000.0000, 0.0010
MDF, Laser-cut, 1, 0.0010, 0.0010, 0.0012
Steel, Injection-molded, 2, 0.1000, 1000.0000, 5.0000
Steel, Injection-molded, 3, 0.1000, 1000.0000, 5.0000
ABS, Injection-molded, 10, 0.0921, 678.9690, 4.9098
MDF, Injection-molded, 1, 0.0999, 584.3482, 4.7156
MDF, Laser-cut, 10, 0.0452, 633.9408, 0.0010
Steel, Laser-cut, 10, 0.0749, 0.0014, 4.7542
Steel, Injection-molded, 1, 0.0805, 0.0014, 3.0740
Steel, Injection-molded, 4, 0.0992, 920.2070, 5.0000
Steel, Injection-molded, 2, 0.0933, 0.0019, 4.8093
ABS, Laser-cut, 1, 0.0543, 511.7123, 0.4203
Steel, Laser-cut, 1, 0.0963, 0.0019, 4.4311
Aluminum, Laser-cut, 1, 0.0653, 0.0010, 0.4283
MDF, Injection-molded, 1, 0.1000, 1000.0000, 0.0017
MDF, 3D-Printed, 2, 0.0010, 0.0010, 3.8866
Steel, 3D-Printed, 5, 0.1000, 858.5752, 0.4141
Steel, 3D-Printed, 5, 0.0950, 0.0010, 1.2624
Steel, Injection-molded, 1, 0.0990, 815.4948, 4.9751
ABS, Injection-molded, 10, 0.0999, 686.6685, 4.7126
Steel, Injection-molded, 6, 0.0967, 360.8801, 4.9129
Steel, Injection-molded, 10, 0.0917, 0.0011, 1.1370
ABS, Injection-molded, 10, 0.0010, 0.0010, 0.0010
Steel, Laser-cut, 1, 0.1000, 23.9813, 5.0000
ABS, Injection-molded, 10, 0.0944, 898.3700, 4.9013
ABS, CNC-Machined, 4, 0.0983, 929.5269, 4.9990
Steel, Laser-cut, 1, 0.0834, 974.4278, 0.3576
Steel, Injection-molded, 1, 0.0863, 0.0010, 3.0601
MDF, 3D-Printed, 7, 0.0995, 862.5212, 4.8653
Steel, Injection-molded, 1, 0.0871, 815.4948, 4.9951
Steel, Injection-molded, 8, 0.0996, 0.0012, 4.7526
MDF, 3D-Printed, 10, 0.0860, 440.5477, 4.6607
Aluminum, Injection-molded, 2, 0.0716, 731.0917, 0.2322
ABS, Injection-molded, 1, 0.0970, 384.6130, 4.1168
Steel, Injection-molded, 8, 0.0958, 418.9945, 1.1370
Steel, Injection-molded, 1, 0.0820, 0.0010, 1.5438
Steel, 3D-Printed, 2, 0.0774, 0.0019, 3.5409
Steel, Laser-cut, 1, 0.0974, 423.0302, 4.9029
Steel, 3D-Printed, 2, 0.0865, 0.0019, 3.5100
Steel, Injection-molded, 2, 0.0820, 0.0010, 4.7694
Steel, Laser-cut, 10, 0.0801, 0.0017, 1.2440
Steel, Injection-molded, 1, 0.0528, 301.5791, 4.9176
Steel, Laser-cut, 1, 0.0995, 0.0017, 4.2922
Steel, 3D-Printed, 1, 0.0909, 123.7895, 3.8689
Steel, 3D-Printed, 1, 0.0988, 325.0283, 4.5180
ABS, Injection-molded, 2, 0.0814, 54.2135, 4.9088
Steel, Laser-cut, 1, 0.0717, 0.0014, 4.6287
Steel, 3D-Printed, 1, 0.0816, 8.9960, 3.8168
Steel, Injection-molded, 1, 0.0834, 974.4278, 4.5445
ABS, 3D-Printed, 1, 0.0071, 87.3064, 5.0000
MDF, Injection-molded, 10, 0.0778, 0.0010, 4.4366
Steel, Injection-molded, 2, 0.0010, 0.0014, 3.8866
Steel, Injection-molded, 1, 0.0697, 24.2120, 4.9764
Steel, Laser-cut, 1, 0.0982, 23.9564, 0.0852
Aluminum, Laser-cut, 1, 0.0796, 549.4670, 4.4919
Steel, 3D-Printed, 10, 0.0900, 216.2308, 4.7742
ABS, Laser-cut, 1, 0.0929, 231.7481, 1.0907
Steel, 3D-Printed, 8, 0.0657, 136.8186, 4.9487
ABS, Laser-cut, 9, 0.0863, 996.8854, 5.0000
Aluminum, Laser-cut, 2, 0.0698, 0.0010, 4.2879
ABS, Laser-cut, 10, 0.0857, 929.6239, 5.0000
MDF, Laser-cut, 3, 0.0010, 0.0010, 0.0010
ABS, CNC-Machined, 4, 0.0985, 932.7385, 5.0000
Steel, Injection-molded, 6, 0.0821, 263.1515, 4.0573
Aluminum, 3D-Printed, 1, 0.0635, 0.0010, 0.0010
MDF, Laser-cut, 5, 0.0010, 0.0010, 0.2206
MDF, Injection-molded, 1, 0.0805, 0.0010, 3.0740
Steel, Laser-cut, 1, 0.0751, 0.0014, 4.6287
MDF, Injection-molded, 1, 0.0885, 606.9583, 4.8358
MDF, Laser-cut, 1, 0.0739, 569.9413, 3.0492
ABS, Injection-molded, 1, 0.0950, 1000.0000, 0.1970
MDF, Injection-molded, 1, 0.0999, 580.8231, 4.8878
Steel, Injection-molded, 1, 0.0589, 573.5522, 4.9053
Steel, Laser-cut, 2, 0.0897, 0.0010, 0.1047
Aluminum, 3D-Printed, 2, 0.0930, 925.3593, 0.0010
Steel, Injection-molded, 1, 0.0751, 84.2881, 1.2120
ABS, Injection-molded, 8, 0.1000, 676.9409, 1.2192
Aluminum, Laser-cut, 1, 0.0751, 116.8577, 0.1531
Aluminum, Injection-molded, 10, 0.0999, 999.9154, 0.0017
MDF, Laser-cut, 1, 0.0957, 168.1536, 4.9633
Steel, 3D-Printed, 5, 0.0638, 145.5779, 0.4141
Steel, Injection-molded, 1, 0.0986, 348.7677, 4.5222
Steel, 3D-Printed, 1, 0.1000, 0.0010, 1.6752
MDF, Injection-molded, 1, 0.0639, 283.6519, 4.9053
Steel, Laser-cut, 2, 0.0968, 477.2395, 0.2221
Steel, Injection-molded, 8, 0.0917, 0.0012, 1.1370
ABS, Laser-cut, 10, 0.0857, 95.8781, 4.9423
ABS, Injection-molded, 3, 0.0720, 889.7260, 4.8471
ABS, Injection-molded, 10, 0.0622, 283.5733, 0.0010
